month,division,line,day_type,category,count
2024-09-01,A DIVISION,1,1,Stations and Structure,1
2024-09-01,A DIVISION,1,1,Track,2
2024-09-01,A DIVISION,1,1,Other,1
2024-09-01,A DIVISION,1,1,Signals,1
2024-09-01,A DIVISION,2,1,Track,2
2024-09-01,A DIVISION,2,1,Signals,1
2024-09-01,A DIVISION,3,1,Persons on Trackbed/Police/Medical,1
2024-09-01,A DIVISION,3,1,Signals,2
2024-09-01,A DIVISION,4,2,Subway Car,1
2024-09-01,A DIVISION,4,2,Other,1
2024-09-01,A DIVISION,4,1,Track,2
2024-09-01,A DIVISION,4,1,Persons on Trackbed/Police/Medical,2
2024-09-01,A DIVISION,4,1,Signals,1
2024-09-01,A DIVISION,4,1,Subway Car,1
2024-09-01,A DIVISION,5,1,Subway Car,1
2024-09-01,A DIVISION,5,1,Track,1
2024-09-01,A DIVISION,6,1,Persons on Trackbed/Police/Medical,3
2024-09-01,A DIVISION,6,1,Signals,1
2024-09-01,A DIVISION,6,1,Subway Car,1
2024-09-01,A DIVISION,6,1,Track,1
2024-09-01,A DIVISION,7,1,Track,1
2024-09-01,A DIVISION,S 42nd,1,Subway Car,1
2024-09-01,B DIVISION,A,1,Persons on Trackbed/Police/Medical,1
2024-09-01,B DIVISION,A,1,Track,1
2024-09-01,B DIVISION,A,1,Subway Car,1
2024-09-01,B DIVISION,A,1,Signals,1
2024-09-01,B DIVISION,B,1,Stations and Structure,1
2024-09-01,B DIVISION,B,1,Persons on Trackbed/Police/Medical,2
2024-09-01,B DIVISION,B,1,Other,1
2024-09-01,B DIVISION,C,1,Persons on Trackbed/Police/Medical,1
2024-09-01,B DIVISION,D,1,Signals,3
2024-09-01,B DIVISION,D,1,Subway Car,1
2024-09-01,B DIVISION,E,1,Track,1
2024-09-01,B DIVISION,E,1,Persons on Trackbed/Police/Medical,1
2024-09-01,B DIVISION,F,2,Signals,1
2024-09-01,B DIVISION,F,1,Subway Car,1
2024-09-01,B DIVISION,F,1,Signals,1
2024-09-01,B DIVISION,F,1,Persons on Trackbed/Police/Medical,2
2024-09-01,B DIVISION,F,1,Track,1
2024-09-01,B DIVISION,G,1,Persons on Trackbed/Police/Medical,1
2024-09-01,B DIVISION,L,1,Persons on Trackbed/Police/Medical,2
2024-09-01,B DIVISION,L,2,Persons on Trackbed/Police/Medical,1
2024-09-01,B DIVISION,M,1,Persons on Trackbed/Police/Medical,1
2024-09-01,B DIVISION,M,1,Stations and Structure,1
2024-09-01,B DIVISION,M,1,Subway Car,1
2024-09-01,B DIVISION,N,1,Persons on Trackbed/Police/Medical,1
2024-09-01,B DIVISION,N,1,Signals,3
2024-09-01,B DIVISION,N,1,Subway Car,2
2024-09-01,B DIVISION,N,2,Subway Car,1
2024-09-01,B DIVISION,Q,1,Subway Car,1
2024-09-01,B DIVISION,R,1,Signals,1
2024-09-01,B DIVISION,R,1,Persons on Trackbed/Police/Medical,2
2024-09-01,B DIVISION,R,1,Other,1
2024-09-01,Systemwide,Systemwide,2,Persons on Trackbed/Police/Medical,1
2024-09-01,Systemwide,Systemwide,2,Other,1
2024-09-01,Systemwide,Systemwide,1,Persons on Trackbed/Police/Medical,20
2024-09-01,Systemwide,Systemwide,1,Signals,15
2024-09-01,Systemwide,Systemwide,1,Stations and Structure,3
2024-09-01,Systemwide,Systemwide,1,Subway Car,11
2024-09-01,Systemwide,Systemwide,1,Track,12
2024-09-01,Systemwide,Systemwide,1,Other,3
2024-09-01,Systemwide,Systemwide,2,Subway Car,2
2024-09-01,Systemwide,Systemwide,2,Signals,1
2024-08-01,A DIVISION,1,1,Track,1
2024-08-01,A DIVISION,1,1,Signals,1
2024-08-01,A DIVISION,2,1,Persons on Trackbed/Police/Medical,2
2024-08-01,A DIVISION,2,2,Persons on Trackbed/Police/Medical,2
2024-08-01,A DIVISION,2,1,Signals,3
2024-08-01,A DIVISION,2,1,Track,1
2024-08-01,A DIVISION,3,1,Persons on Trackbed/Police/Medical,2
2024-08-01,A DIVISION,4,1,Persons on Trackbed/Police/Medical,2
2024-08-01,A DIVISION,5,1,Persons on Trackbed/Police/Medical,3
2024-08-01,A DIVISION,6,1,Subway Car,1
2024-08-01,A DIVISION,6,1,Persons on Trackbed/Police/Medical,2
2024-08-01,A DIVISION,6,1,Track,3
2024-08-01,A DIVISION,7,2,Persons on Trackbed/Police/Medical,1
2024-08-01,A DIVISION,7,1,Persons on Trackbed/Police/Medical,1
2024-08-01,A DIVISION,7,1,Signals,3
2024-08-01,A DIVISION,7,1,Stations and Structure,1
2024-08-01,A DIVISION,7,1,Track,3
2024-08-01,A DIVISION,S 42nd,1,Subway Car,2
2024-08-01,B DIVISION,A,1,Signals,1
2024-08-01,B DIVISION,A,1,Other,1
2024-08-01,B DIVISION,B,1,Other,2
2024-08-01,B DIVISION,B,1,Track,2
2024-08-01,B DIVISION,C,1,Signals,2
2024-08-01,B DIVISION,D,1,Other,1
2024-08-01,B DIVISION,D,1,Signals,3
2024-08-01,B DIVISION,E,1,Track,2
2024-08-01,B DIVISION,E,1,Stations and Structure,1
2024-08-01,B DIVISION,E,1,Signals,1
2024-08-01,B DIVISION,E,1,Persons on Trackbed/Police/Medical,1
2024-08-01,B DIVISION,F,1,Stations and Structure,1
2024-08-01,B DIVISION,F,1,Persons on Trackbed/Police/Medical,2
2024-08-01,B DIVISION,JZ,1,Signals,1
2024-08-01,B DIVISION,L,2,Persons on Trackbed/Police/Medical,1
2024-08-01,B DIVISION,L,2,Stations and Structure,1
2024-08-01,B DIVISION,L,1,Stations and Structure,1
2024-08-01,B DIVISION,L,1,Signals,1
2024-08-01,B DIVISION,L,1,Persons on Trackbed/Police/Medical,2
2024-08-01,B DIVISION,M,1,Signals,1
2024-08-01,B DIVISION,N,1,Subway Car,1
2024-08-01,B DIVISION,N,1,Other,1
2024-08-01,B DIVISION,N,1,Signals,2
2024-08-01,B DIVISION,N,1,Stations and Structure,1
2024-08-01,B DIVISION,Q,1,Stations and Structure,1
2024-08-01,B DIVISION,Q,1,Other,1
2024-08-01,B DIVISION,Q,1,Persons on Trackbed/Police/Medical,1
2024-08-01,B DIVISION,Q,1,Track,1
2024-08-01,B DIVISION,R,1,Stations and Structure,1
2024-08-01,B DIVISION,R,1,Track,2
2024-08-01,Systemwide,Systemwide,2,Persons on Trackbed/Police/Medical,4
2024-08-01,Systemwide,Systemwide,1,Other,6
2024-08-01,Systemwide,Systemwide,1,Persons on Trackbed/Police/Medical,18
2024-08-01,Systemwide,Systemwide,1,Signals,19
2024-08-01,Systemwide,Systemwide,1,Stations and Structure,7
2024-08-01,Systemwide,Systemwide,1,Subway Car,4
2024-08-01,Systemwide,Systemwide,1,Track,15
2024-08-01,Systemwide,Systemwide,2,Stations and Structure,1
2024-07-01,A DIVISION,1,1,Signals,2
2024-07-01,A DIVISION,1,1,Other,1
2024-07-01,A DIVISION,1,1,Persons on Trackbed/Police/Medical,1
2024-07-01,A DIVISION,1,1,Subway Car,1
2024-07-01,A DIVISION,2,1,Subway Car,1
2024-07-01,A DIVISION,3,1,Persons on Trackbed/Police/Medical,1
2024-07-01,A DIVISION,3,1,Signals,1
2024-07-01,A DIVISION,4,2,Persons on Trackbed/Police/Medical,1
2024-07-01,A DIVISION,4,1,Persons on Trackbed/Police/Medical,2
2024-07-01,A DIVISION,4,2,Other,1
2024-07-01,A DIVISION,5,1,Signals,3
2024-07-01,A DIVISION,5,1,Persons on Trackbed/Police/Medical,1
2024-07-01,A DIVISION,5,1,Track,2
2024-07-01,A DIVISION,6,1,Signals,1
2024-07-01,A DIVISION,6,1,Track,1
2024-07-01,A DIVISION,7,1,Signals,1
2024-07-01,A DIVISION,7,1,Persons on Trackbed/Police/Medical,1
2024-07-01,B DIVISION,A,1,Subway Car,2
2024-07-01,B DIVISION,B,1,Track,1
2024-07-01,B DIVISION,B,1,Signals,2
2024-07-01,B DIVISION,B,1,Other,1
2024-07-01,B DIVISION,C,2,Subway Car,1
2024-07-01,B DIVISION,D,1,Persons on Trackbed/Police/Medical,1
2024-07-01,B DIVISION,D,2,Persons on Trackbed/Police/Medical,1
2024-07-01,B DIVISION,D,1,Track,1
2024-07-01,B DIVISION,D,1,Signals,2
2024-07-01,B DIVISION,E,1,Subway Car,2
2024-07-01,B DIVISION,E,1,Track,3
2024-07-01,B DIVISION,F,1,Signals,3
2024-07-01,B DIVISION,F,1,Persons on Trackbed/Police/Medical,1
2024-07-01,B DIVISION,F,1,Track,2
2024-07-01,B DIVISION,F,1,Stations and Structure,1
2024-07-01,B DIVISION,F,1,Other,1
2024-07-01,B DIVISION,G,1,Track,1
