Month,Division,Car Class,Total Miles,Number of Failures,Number of Cars,MDBF,12-Month Average MDBF
2024-10-01,A,R142,4897476,23,1025,212934.0,159332
2024-10-01,A,R142A,990110,4,220,247528.0,141228
2024-10-01,B,R143,990110,4,220,247528.0,141228
2024-10-01,B,R160,9001454,39,1662,230807.0,243580
2024-10-01,B,R179,9001454,39,1662,230807.0,243580
2024-10-01,A,R188-CONVERSION,1410511,6,380,235085.0,256355
2024-10-01,A,R188-NEW,439262,0,126,N/A,497073
2024-10-01,B,R46,3202526,53,696,60425.0,45491
2024-10-01,A,R62,1468029,20,315,73401.0,133881
2024-10-01,A,R62A,3827171,55,824,69585.0,72663
2024-10-01,B,R68,2119238,19,425,111539.0,121881
2024-10-01,B,R68A,795559,21,200,37884.0,69172
2024-09-01,A,R142,4411360,32,1025,137855.0,159513
2024-09-01,A,R142A,1015123,9,220,112791.0,135210
2024-09-01,B,R143,972084,11,212,88371.0,206447
2024-09-01,B,R160,7665876,47,1662,163104.0,241873
2024-09-01,B,R179,1180958,7,318,168708.0,244829
2024-09-01,A,R188-CONVERSION,1412492,3,380,470831.0,243791
2024-09-01,A,R188-NEW,433235,0,126,N/A,365967
2024-09-01,B,R46,3005192,70,696,42931.0,44244
2024-09-01,A,R62,1220482,8,315,152560.0,152304
2024-09-01,A,R62A,3653610,55,824,66429.0,74922
2024-09-01,B,R68,2099740,15,425,139983.0,123301
2024-09-01,B,R68A,719456,13,200,55343.0,75912
2024-08-01,A,R142,4675723,37,1025,126371.0,165550
2024-08-01,A,R142A,983828,11,220,89439.0,134290
2024-08-01,B,R143,1014531,7,212,144933.0,244425
2024-08-01,B,R160,7428918,30,1662,247631.0,257191
2024-08-01,B,R179,1308965,4,318,327241.0,251071
2024-08-01,A,R188-CONVERSION,1409653,4,380,352413.0,228920
2024-08-01,A,R188-NEW,461683,1,126,461683.0,346904
2024-08-01,B,R46,3155094,76,700,41514.0,43494
2024-08-01,A,R62,1374744,16,315,85922.0,151529
2024-08-01,A,R62A,3777542,63,824,59961.0,78020
2024-08-01,B,R68,2210639,20,425,110532.0,123718
2024-08-01,B,R68A,829505,10,200,82951.0,77341
2024-07-01,A,R142,4675381,35,1025,133582.0,176620
2024-07-01,A,R142A,1046620,7,220,149517.0,140955
2024-07-01,B,R143,1034532,5,212,206906.0,252072
2024-07-01,B,R160,7488887,26,1662,288034.0,256766
2024-07-01,B,R179,1332245,6,318,222041.0,242489
2024-07-01,A,R188-CONVERSION,1470225,7,380,210032.0,214412
2024-07-01,A,R188-NEW,482587,1,126,482587.0,347382
2024-07-01,B,R46,3268768,105,704,31131.0,43137
2024-07-01,A,R62,1433683,9,315,159298.0,157291
2024-07-01,A,R62A,3633852,57,824,63752.0,83253
2024-07-01,B,R68,2130137,24,425,88756.0,119960
2024-07-01,B,R68A,859540,10,200,85954.0,75809
2024-06-01,A,R142,4567726,35,1025,130506.0,179431
2024-06-01,A,R142A,961719,7,220,137388.0,138135
2024-06-01,B,R143,911594,7,212,130228.0,237684
2024-06-01,B,R160,7201094,33,1662,218215.0,251821
2024-06-01,B,R179,1423003,4,318,355751.0,224227
2024-06-01,A,R188-CONVERSION,1387089,5,380,277418.0,213730
2024-06-01,A,R188-NEW,357803,1,126,357803.0,319839
2024-06-01,B,R46,3089942,66,704,46817.0,44183
2024-06-01,A,R62,1344941,14,315,96067.0,153746
2024-06-01,A,R62A,3507341,47,824,74624.0,87300
2024-06-01,B,R68,2001166,17,425,117716.0,123252
2024-06-01,B,R68A,746762,9,200,82974.0,74602
2024-05-01,A,R142,4865643,27,1025,180209.0,187239
2024-05-01,A,R142A,1051988,9,220,116888.0,141930
2024-05-01,B,R143,900650,6,212,150108.0,267030
2024-05-01,B,R160,7585001,30,1662,252833.0,261009
2024-05-01,B,R179,1402144,7,318,200306.0,201916
2024-05-01,A,R188-CONVERSION,1383259,8,380,172907.0,225851
2024-05-01,A,R188-NEW,502074,0,126,237768.0,347405
2024-05-01,B,R46,3444567,66,744,52190.0,43294
2024-05-01,A,R62,1372037,12,315,114336.0,160565
2024-05-01,A,R62A,3758601,55,824,68338.0,91230
2024-05-01,B,R68,2113626,10,425,211363.0,123067
2024-05-01,B,R68A,808341,10,200,80834.0,76500
2024-04-01,A,R142,4598228,23,1025,199923.0,184883
2024-04-01,A,R142A,975426,4,220,243857.0,143766
