month_year_line,major_incident_category,major_incident_count,month_year,line,ridership,avg_wind_speed,total_rain,total_snow,avg_max_temp,avg_min_temp,no_of_train_failures,mean_dist_btw_failures,total_num_of_delays
2024-09_1,Stations and Structure,1,2024-09,1,103578757,4.399,1.58,0,75.7,61.93333333333333,107,188093.2,1927
2024-09_1,Track,2,2024-09,1,103578757,4.399,1.58,0,75.7,61.93333333333333,107,188093.2,1927
2024-09_1,Other,1,2024-09,1,103578757,4.399,1.58,0,75.7,61.93333333333333,107,188093.2,1927
2024-09_1,Signals,1,2024-09,1,103578757,4.399,1.58,0,75.7,61.93333333333333,107,188093.2,1927
2024-09_2,Track,2,2024-09,2,103578757,4.399,1.58,0,75.7,61.93333333333333,107,188093.2,2888
2024-09_2,Signals,1,2024-09,2,103578757,4.399,1.58,0,75.7,61.93333333333333,107,188093.2,2888
2024-09_3,Persons on Trackbed/Police/Medical,1,2024-09,3,103578757,4.399,1.58,0,75.7,61.93333333333333,107,188093.2,1104
2024-09_3,Signals,2,2024-09,3,103578757,4.399,1.58,0,75.7,61.93333333333333,107,188093.2,1104
2024-09_4,Subway Car,1,2024-09,4,103578757,4.399,1.58,0,75.7,61.93333333333333,107,188093.2,2025
2024-09_4,Other,1,2024-09,4,103578757,4.399,1.58,0,75.7,61.93333333333333,107,188093.2,2025
2024-09_4,Track,2,2024-09,4,103578757,4.399,1.58,0,75.7,61.93333333333333,107,188093.2,2025
2024-09_4,Persons on Trackbed/Police/Medical,2,2024-09,4,103578757,4.399,1.58,0,75.7,61.93333333333333,107,188093.2,2025
2024-09_4,Signals,1,2024-09,4,103578757,4.399,1.58,0,75.7,61.93333333333333,107,188093.2,2025
2024-09_4,Subway Car,1,2024-09,4,103578757,4.399,1.58,0,75.7,61.93333333333333,107,188093.2,2025
2024-09_5,Subway Car,1,2024-09,5,103578757,4.399,1.58,0,75.7,61.93333333333333,107,188093.2,1427
2024-09_5,Track,1,2024-09,5,103578757,4.399,1.58,0,75.7,61.93333333333333,107,188093.2,1427
2024-09_6,Persons on Trackbed/Police/Medical,3,2024-09,6,103578757,4.399,1.58,0,75.7,61.93333333333333,107,188093.2,2906
2024-09_6,Signals,1,2024-09,6,103578757,4.399,1.58,0,75.7,61.93333333333333,107,188093.2,2906
2024-09_6,Subway Car,1,2024-09,6,103578757,4.399,1.58,0,75.7,61.93333333333333,107,188093.2,2906
2024-09_6,Track,1,2024-09,6,103578757,4.399,1.58,0,75.7,61.93333333333333,107,188093.2,2906
2024-09_7,Track,1,2024-09,7,103578757,4.399,1.58,0,75.7,61.93333333333333,107,188093.2,1064
2024-09_S 42nd,Subway Car,1,2024-09,S 42nd,103578757,4.399,1.58,0,75.7,61.93333333333333,107,188093.2,
2024-09_A,Persons on Trackbed/Police/Medical,1,2024-09,A,103578757,4.399,1.58,0,75.7,61.93333333333333,163,109740,2252
2024-09_A,Track,1,2024-09,A,103578757,4.399,1.58,0,75.7,61.93333333333333,163,109740,2252
2024-09_A,Subway Car,1,2024-09,A,103578757,4.399,1.58,0,75.7,61.93333333333333,163,109740,2252
2024-09_A,Signals,1,2024-09,A,103578757,4.399,1.58,0,75.7,61.93333333333333,163,109740,2252
2024-09_B,Stations and Structure,1,2024-09,B,103578757,4.399,1.58,0,75.7,61.93333333333333,163,109740,2045
2024-09_B,Persons on Trackbed/Police/Medical,2,2024-09,B,103578757,4.399,1.58,0,75.7,61.93333333333333,163,109740,2045
2024-09_B,Other,1,2024-09,B,103578757,4.399,1.58,0,75.7,61.93333333333333,163,109740,2045
2024-09_C,Persons on Trackbed/Police/Medical,1,2024-09,C,103578757,4.399,1.58,0,75.7,61.93333333333333,163,109740,1588
2024-09_D,Signals,3,2024-09,D,103578757,4.399,1.58,0,75.7,61.93333333333333,163,109740,1919
2024-09_D,Subway Car,1,2024-09,D,103578757,4.399,1.58,0,75.7,61.93333333333333,163,109740,1919
2024-09_E,Track,1,2024-09,E,103578757,4.399,1.58,0,75.7,61.93333333333333,163,109740,1993
2024-09_E,Persons on Trackbed/Police/Medical,1,2024-09,E,103578757,4.399,1.58,0,75.7,61.93333333333333,163,109740,1993
2024-09_F,Signals,1,2024-09,F,103578757,4.399,1.58,0,75.7,61.93333333333333,163,109740,3169
2024-09_F,Subway Car,1,2024-09,F,103578757,4.399,1.58,0,75.7,61.93333333333333,163,109740,3169
2024-09_F,Signals,1,2024-09,F,103578757,4.399,1.58,0,75.7,61.93333333333333,163,109740,3169
2024-09_F,Persons on Trackbed/Police/Medical,2,2024-09,F,103578757,4.399,1.58,0,75.7,61.93333333333333,163,109740,3169
2024-09_F,Track,1,2024-09,F,103578757,4.399,1.58,0,75.7,61.93333333333333,163,109740,3169
2024-09_G,Persons on Trackbed/Police/Medical,1,2024-09,G,103578757,4.399,1.58,0,75.7,61.93333333333333,163,109740,1749
2024-09_L,Persons on Trackbed/Police/Medical,2,2024-09,L,103578757,4.399,1.58,0,75.7,61.93333333333333,163,109740,1094
2024-09_L,Persons on Trackbed/Police/Medical,1,2024-09,L,103578757,4.399,1.58,0,75.7,61.93333333333333,163,109740,1094
2024-09_M,Persons on Trackbed/Police/Medical,1,2024-09,M,103578757,4.399,1.58,0,75.7,61.93333333333333,163,109740,1205
2024-09_M,Stations and Structure,1,2024-09,M,103578757,4.399,1.58,0,75.7,61.93333333333333,163,109740,1205
2024-09_M,Subway Car,1,2024-09,M,103578757,4.399,1.58,0,75.7,61.93333333333333,163,109740,1205
2024-09_N,Persons on Trackbed/Police/Medical,1,2024-09,N,103578757,4.399,1.58,0,75.7,61.93333333333333,163,109740,2953
2024-09_N,Signals,3,2024-09,N,103578757,4.399,1.58,0,75.7,61.93333333333333,163,109740,2953
2024-09_N,Subway Car,2,2024-09,N,103578757,4.399,1.58,0,75.7,61.93333333333333,163,109740,2953
2024-09_N,Subway Car,1,2024-09,N,103578757,4.399,1.58,0,75.7,61.93333333333333,163,109740,2953
2024-09_Q,Subway Car,1,2024-09,Q,103578757,4.399,1.58,0,75.7,61.93333333333333,163,109740,2115
2024-09_R,Signals,1,2024-09,R,103578757,4.399,1.58,0,75.7,61.93333333333333,163,109740,1456
2024-09_R,Persons on Trackbed/Police/Medical,2,2024-09,R,103578757,4.399,1.58,0,75.7,61.93333333333333,163,109740,1456
2024-09_R,Other,1,2024-09,R,103578757,4.399,1.58,0,75.7,61.93333333333333,163,109740,1456
2024-08_1,Track,1,2024-08,1,92307476,3.7235483870967743,7.0200000000000005,0,82.51612903225806,67.70967741935483,132,195964.83333333334,2091
2024-08_1,Signals,1,2024-08,1,92307476,3.7235483870967743,7.0200000000000005,0,82.51612903225806,67.70967741935483,132,195964.83333333334,2091
2024-08_2,Persons on Trackbed/Police/Medical,2,2024-08,2,92307476,3.7235483870967743,7.0200000000000005,0,82.51612903225806,67.70967741935483,132,195964.83333333334,2895
2024-08_2,Persons on Trackbed/Police/Medical,2,2024-08,2,92307476,3.7235483870967743,7.0200000000000005,0,82.51612903225806,67.70967741935483,132,195964.83333333334,2895
2024-08_2,Signals,3,2024-08,2,92307476,3.7235483870967743,7.0200000000000005,0,82.51612903225806,67.70967741935483,132,195964.83333333334,2895
2024-08_2,Track,1,2024-08,2,92307476,3.7235483870967743,7.0200000000000005,0,82.51612903225806,67.70967741935483,132,195964.83333333334,2895
2024-08_3,Persons on Trackbed/Police/Medical,2,2024-08,3,92307476,3.7235483870967743,7.0200000000000005,0,82.51612903225806,67.70967741935483,132,195964.83333333334,1385
2024-08_4,Persons on Trackbed/Police/Medical,2,2024-08,4,92307476,3.7235483870967743,7.0200000000000005,0,82.51612903225806,67.70967741935483,132,195964.83333333334,1696
2024-08_5,Persons on Trackbed/Police/Medical,3,2024-08,5,92307476,3.7235483870967743,7.0200000000000005,0,82.51612903225806,67.70967741935483,132,195964.83333333334,1404
2024-08_6,Subway Car,1,2024-08,6,92307476,3.7235483870967743,7.0200000000000005,0,82.51612903225806,67.70967741935483,132,195964.83333333334,3234
2024-08_6,Persons on Trackbed/Police/Medical,2,2024-08,6,92307476,3.7235483870967743,7.0200000000000005,0,82.51612903225806,67.70967741935483,132,195964.83333333334,3234
2024-08_6,Track,3,2024-08,6,92307476,3.7235483870967743,7.0200000000000005,0,82.51612903225806,67.70967741935483,132,195964.83333333334,3234
2024-08_7,Persons on Trackbed/Police/Medical,1,2024-08,7,92307476,3.7235483870967743,7.0200000000000005,0,82.51612903225806,67.70967741935483,132,195964.83333333334,1927
2024-08_7,Persons on Trackbed/Police/Medical,1,2024-08,7,92307476,3.7235483870967743,7.0200000000000005,0,82.51612903225806,67.70967741935483,132,195964.83333333334,1927
2024-08_7,Signals,3,2024-08,7,92307476,3.7235483870967743,7.0200000000000005,0,82.51612903225806,67.70967741935483,132,195964.83333333334,1927
2024-08_7,Stations and Structure,1,2024-08,7,92307476,3.7235483870967743,7.0200000000000005,0,82.51612903225806,67.70967741935483,132,195964.83333333334,1927
2024-08_7,Track,3,2024-08,7,92307476,3.7235483870967743,7.0200000000000005,0,82.51612903225806,67.70967741935483,132,195964.83333333334,1927
2024-08_S 42nd,Subway Car,2,2024-08,S 42nd,92307476,3.7235483870967743,7.0200000000000005,0,82.51612903225806,67.70967741935483,132,195964.83333333334,
2024-08_A,Signals,1,2024-08,A,92307476,3.7235483870967743,7.0200000000000005,0,82.51612903225806,67.70967741935483,147,159133.66666666666,2809
2024-08_A,Other,1,2024-08,A,92307476,3.7235483870967743,7.0200000000000005,0,82.51612903225806,67.70967741935483,147,159133.66666666666,2809
2024-08_B,Other,2,2024-08,B,92307476,3.7235483870967743,7.0200000000000005,0,82.51612903225806,67.70967741935483,147,159133.66666666666,2138
2024-08_B,Track,2,2024-08,B,92307476,3.7235483870967743,7.0200000000000005,0,82.51612903225806,67.70967741935483,147,159133.66666666666,2138
2024-08_C,Signals,2,2024-08,C,92307476,3.7235483870967743,7.0200000000000005,0,82.51612903225806,67.70967741935483,147,159133.66666666666,2219
2024-08_D,Other,1,2024-08,D,92307476,3.7235483870967743,7.0200000000000005,0,82.51612903225806,67.70967741935483,147,159133.66666666666,2524
2024-08_D,Signals,3,2024-08,D,92307476,3.7235483870967743,7.0200000000000005,0,82.51612903225806,67.70967741935483,147,159133.66666666666,2524
2024-08_E,Track,2,2024-08,E,92307476,3.7235483870967743,7.0200000000000005,0,82.51612903225806,67.70967741935483,147,159133.66666666666,2091
2024-08_E,Stations and Structure,1,2024-08,E,92307476,3.7235483870967743,7.0200000000000005,0,82.51612903225806,67.70967741935483,147,159133.66666666666,2091
2024-08_E,Signals,1,2024-08,E,92307476,3.7235483870967743,7.0200000000000005,0,82.51612903225806,67.70967741935483,147,159133.66666666666,2091
2024-08_E,Persons on Trackbed/Police/Medical,1,2024-08,E,92307476,3.7235483870967743,7.0200000000000005,0,82.51612903225806,67.70967741935483,147,159133.66666666666,2091
2024-08_F,Stations and Structure,1,2024-08,F,92307476,3.7235483870967743,7.0200000000000005,0,82.51612903225806,67.70967741935483,147,159133.66666666666,2699
2024-08_F,Persons on Trackbed/Police/Medical,2,2024-08,F,92307476,3.7235483870967743,7.0200000000000005,0,82.51612903225806,67.70967741935483,147,159133.66666666666,2699
2024-08_JZ,Signals,1,2024-08,JZ,92307476,3.7235483870967743,7.0200000000000005,0,82.51612903225806,67.70967741935483,147,159133.66666666666,1391
2024-08_L,Persons on Trackbed/Police/Medical,1,2024-08,L,92307476,3.7235483870967743,7.0200000000000005,0,82.51612903225806,67.70967741935483,147,159133.66666666666,1255
