date,ridership
3/1/20,2212965
3/2/20,5329915
3/3/20,5481103
3/4/20,5498809
3/5/20,5496453
3/6/20,5189447
3/7/20,2814637
3/8/20,2120656
3/9/20,4973513
3/10/20,4867818
3/11/20,4697122
3/12/20,4149505
3/13/20,3484996
3/14/20,1670665
3/15/20,1157711
3/16/20,2178555
3/17/20,1788786
3/18/20,1625280
3/19/20,1422112
3/20/20,1309125
3/21/20,619618
3/22/20,408723
3/23/20,709499
3/24/20,741587
3/25/20,690032
3/26/20,680360
3/27/20,656817
3/28/20,332393
3/29/20,263700
3/30/20,545215
3/31/20,508106
4/1/20,513481
4/2/20,485586
4/3/20,483357
4/4/20,282278
4/5/20,227303
4/6/20,445454
4/7/20,434986
4/8/20,427485
4/9/20,404635
4/10/20,400275
4/11/20,257061
4/12/20,198399
4/13/20,363312
4/14/20,430155
4/15/20,419059
4/16/20,420223
4/17/20,432368
4/18/20,254453
4/19/20,224411
4/20/20,437852
4/21/20,422107
4/22/20,458781
4/23/20,453520
4/24/20,443956
4/25/20,295387
4/26/20,218787
4/27/20,462888
4/28/20,489247
4/29/20,477799
4/30/20,465869
5/1/20,494549
5/2/20,325865
5/3/20,258865
5/4/20,511866
5/5/20,522085
5/6/20,508824
5/7/20,535073
5/8/20,526054
5/9/20,316883
5/10/20,271947
5/11/20,520873
5/12/20,553372
5/13/20,565377
5/14/20,567392
5/15/20,587808
5/16/20,360844
5/17/20,287418
5/18/20,595469
5/19/20,610884
5/20/20,623749
5/21/20,629298
5/22/20,633883
5/23/20,335830
5/24/20,320015
5/25/20,393918
5/26/20,656766
5/27/20,674465
5/28/20,658057
5/29/20,657259
5/30/20,426737
5/31/20,344426
6/1/20,687162
6/2/20,693760
6/3/20,681714
6/4/20,726672
6/5/20,703576
6/6/20,464198
6/7/20,377990
6/8/20,804542
6/9/20,842306
6/10/20,857015
6/11/20,818297
6/12/20,896658
6/13/20,545316
6/14/20,430439
6/15/20,897112
6/16/20,932671
6/17/20,948461
6/18/20,942382
6/19/20,986929
6/20/20,576075
6/21/20,449497
6/22/20,1000046
6/23/20,1050786
6/24/20,1068333
6/25/20,1078796
6/26/20,1102382
6/27/20,615398
6/28/20,535898
6/29/20,1100769
6/30/20,1113124
7/1/20,1120537
7/2/20,1170483
7/3/20,851877
7/4/20,591605
7/5/20,533692
7/6/20,1084956
7/7/20,1157185
7/8/20,1172279
7/9/20,1211280
7/10/20,1030632
7/11/20,692977
7/12/20,628187
7/13/20,1175700
7/14/20,1241080
7/15/20,1248413
7/16/20,1249128
7/17/20,1207265
7/18/20,778936
7/19/20,584994
7/20/20,1156735
7/21/20,1241819
7/22/20,1233668
7/23/20,1233795
7/24/20,1218138
7/25/20,816604
7/26/20,606910
7/27/20,1203503
7/28/20,1241770
7/29/20,1296102
7/30/20,1270172
7/31/20,1258539
8/1/20,842468
8/2/20,590060
8/3/20,1272996
8/4/20,1027187
8/5/20,1348202
8/6/20,1334694
8/7/20,1283894
8/8/20,833287
8/9/20,662993
8/10/20,1275268
8/11/20,1319814
8/12/20,1298963
8/13/20,1291277
8/14/20,1355786
8/15/20,860789
8/16/20,554451
8/17/20,1304485
8/18/20,1369617
8/19/20,1292148
8/20/20,1410489
8/21/20,1387463
8/22/20,882522
8/23/20,671560
8/24/20,1307345
8/25/20,1346490
8/26/20,1407639
8/27/20,1358272
8/28/20,1388583
8/29/20,773667
8/30/20,748061
8/31/20,1397264
9/1/20,1469274
9/2/20,1487969
9/3/20,1529185
9/4/20,1568385
9/5/20,1013725
9/6/20,819409
9/7/20,870964
9/8/20,1555816
9/9/20,1610076
9/10/20,1543662
9/11/20,1690334
9/12/20,1083698
9/13/20,796740
9/14/20,1604381
9/15/20,1678078
9/16/20,1686909
9/17/20,1692368
9/18/20,1725443
9/19/20,1136947
9/20/20,827605
9/21/20,1624139
9/22/20,1698504
9/23/20,1735333
9/24/20,1722364
9/25/20,1761591
9/26/20,1120143
9/27/20,846179
9/28/20,1489240
9/29/20,1661264
9/30/20,1740820
10/1/20,1809958
10/2/20,1790612
10/3/20,1168040
10/4/20,852830
10/5/20,1678792
10/6/20,1758454
10/7/20,1770617
10/8/20,1798005
10/9/20,1808079
10/10/20,1170227
10/11/20,848469
10/12/20,1284655
10/13/20,1715183
10/14/20,1838682
10/15/20,1853753
10/16/20,1671320
10/17/20,1209473
10/18/20,896812
10/19/20,1719153
10/20/20,1780231
10/21/20,1812949
10/22/20,1825208
10/23/20,1842588
10/24/20,1185612
10/25/20,885001
10/26/20,1690651
10/27/20,1815242
10/28/20,1819352
10/29/20,1705072
10/30/20,1768018
10/31/20,1174059
11/1/20,786675
11/2/20,1747908
11/3/20,1602912
11/4/20,1690489
11/5/20,1793796
11/6/20,1837314
11/7/20,1246321
11/8/20,927670
11/9/20,1752614
11/10/20,1836902
11/11/20,1614812
11/12/20,1776666
11/13/20,1816693
11/14/20,1215477
11/15/20,820858
11/16/20,1741750
11/17/20,1788847
11/18/20,1787688
11/19/20,1757535
11/20/20,1800423
11/21/20,1157957
11/22/20,817963
11/23/20,1646525
11/24/20,1735702
11/25/20,1688227
11/26/20,652276
