"STATION","NAME","DATE","AWND","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HTDD","PRCP","SNOW","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5"
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2020-01",,,,"9","4",,,,,,,,,,,"1.29",,,,"2.11",,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2020-02",,,,"15","9",,,,,,,,,,,"0.59",,,,"3.15",,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2020-03",,,,"17","8",,,,,,,,,,,"1.09",,,,"4.03",,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2020-04",,,,"20","8",,,,,,,,,,,"0.95",,,,"4.14",,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2020-05",,,,"15","7",,,,,,,,,,,"0.59",,,,"2.64",,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2020-06",,,,"9","6",,,,,,,,,,,"0.56",,,,"1.96",,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2020-07",,,,"15","8",,,,,,,,,,,"2.95",,,,"7.84",,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2020-08",,,,"15","8",,,,,,,,,,,"0.87",,,,"3.58",,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2020-10",,,,"14","8",,,,,,,,,,,"2.16",,,,"5.70",,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2020-11",,,,"10","7",,,,,,,,,,,"0.94",,,,"2.83",,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2020-12",,,,"9","7",,,,,,,,,,,"2.17",,,,"5.44",,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2021-01",,,,"6","4",,,,,,,,,,,"1.85",,,,"3.17",,,,,,,,
"US1NJUN0028","SPRINGFIELD TWP 0.7 NNE, NJ US","2021-03",,,,"8","4",,,,,,,,,,,"1.64",,,,"3.73",,,,,,,,
