"STATION","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","CDSD","CLDD","DP01","DP10","DSND","DSNW","DT00","DT32","DX32","DX70","DX90","EMNT","EMSD","EMSN","EMXP","EMXT","HDSD","HTDD","PRCP","SNOW","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5"
"US1NJUN0028","40.708904","-74.321518","37.5","2022-02",,,,"8","7",,,,,,,,,,,"0.85",,,,"3.38",,,,,,,,
"US1NJUN0028","40.708904","-74.321518","37.5","2022-03",,,,"12","7",,,,,,,,,,,"0.61",,,,"2.08",,,,,,,,
"US1NJUN0028","40.708904","-74.321518","37.5","2022-04",,,,"14","7",,,,,,,,,,,"1.98",,,,"5.29",,,,,,,,
"US1NJUN0028","40.708904","-74.321518","37.5","2022-05",,,,"18","11",,,,,,,,,,,"1.85",,,,"7.11",,,,,,,,
"US1NJUN0028","40.708904","-74.321518","37.5","2022-06",,,,"13","7",,,,,,,,,,,"1.46",,,,"3.56",,,,,,,,
"US1NJUN0028","40.708904","-74.321518","37.5","2022-08",,,,"7","4",,,,,,,,,,,"1.09",,,,"1.96",,,,,,,,
"US1NJUN0028","40.708904","-74.321518","37.5","2022-09",,,,"10","8",,,,,,,,,,,"1.60",,,,"4.98",,,,,,,,
"US1NJUN0028","40.708904","-74.321518","37.5","2022-12",,,,"10","8",,,,,,,,,,,"1.38",,,,"6.22",,,,,,,,
"US1NJUN0028","40.708904","-74.321518","37.5","2023-01",,,,"17","9",,,,,,,,,,,"1.90",,,,"5.53",,,,,,,,
"US1NJUN0028","40.708904","-74.321518","37.5","2023-02",,,,"7","3",,,,,,,,,,,"0.21",,,,"0.80",,,,,,,,
"US1NJUN0028","40.708904","-74.321518","37.5","2023-03",,,,"12","7",,,,,,,,,,,"1.37",,,,"3.44",,,,,,,,
"US1NJUN0028","40.708904","-74.321518","37.5","2023-04",,,,"11","7",,,,,,,,,,,"2.25",,,,"5.54",,,,,,,,
"US1NJUN0028","40.708904","-74.321518","37.5","2023-05",,,,"10","3",,,,,,,,,,,"3.23",,,,"4.32",,,,,,,,
"US1NJUN0028","40.708904","-74.321518","37.5","2023-06",,,,"13","7",,,,,,,,,,,"0.89",,,,"3.30",,,,,,,,
"US1NJUN0028","40.708904","-74.321518","37.5","2023-07",,,,"15","10",,,,,,,,,,,"2.18",,,,"5.80",,,,,,,,
"US1NJUN0028","40.708904","-74.321518","37.5","2023-09",,,,"15","12",,,,,,,,,,,"1.18",,,,"7.24",,,,,,,,
"US1NJUN0028","40.708904","-74.321518","37.5","2023-10",,,,"12","6",,,,,,,,,,,"1.14",,,,"3.25",,,,,,,,
"US1NJUN0028","40.708904","-74.321518","37.5","2023-11",,,,"5","2",,,,,,,,,,,"2.55",,,,"3.99",,,,,,,,
"US1NJUN0028","40.708904","-74.321518","37.5","2024-03",,,,"14","9",,,,,,,,,,,"2.07",,,,"8.43",,,,,,,,
"US1NJUN0028","40.708904","-74.321518","37.5","2024-04",,,,"14","8",,,,,,,,,,,"1.53",,,,"4.65",,,,,,,,
"US1NJUN0028","40.708904","-74.321518","37.5","2024-05",,,,"16","11",,,,,,,,,,,"1.04",,,,"4.47",,,,,,,,
"US1NJUN0028","40.708904","-74.321518","37.5","2024-06",,,,"8","5",,,,,,,,,,,"0.87",,,,"2.39",,,,,,,,
"US1NJUN0028","40.708904","-74.321518","37.5","2024-07",,,,"12","6",,,,,,,,,,,"1.14",,,,"3.33",,,,,,,,
"US1NJUN0028","40.708904","-74.321518","37.5","2024-08",,,,"13","12",,,,,,,,,,,"4.18",,,,"10.02",,,,,,,,
"US1NJUN0028","40.708904","-74.321518","37.5","2024-09",,,,"8","4",,,,,,,,,,,"0.33",,,,"0.84",,,,,,,,
"US1NJUN0028","40.708904","-74.321518","37.5","2024-10",,,,"0","0",,"0",,,,,,,,"0.0","0.00",,,,"0.00","0.0",,,,,,,
"US1NJUN0028","40.708904","-74.321518","37.5","2024-11",,,,"10","7",,,,,,,,,,,"1.11",,,,"3.73",,,,,,,,
"US1NYSF0158","40.695085","-73.358045","5.2","2023-04",,,,"7","6",,,,,,,,,,,"1.36",,,,"3.42",,,,,,,,
"US1NYSF0158","40.695085","-73.358045","5.2","2023-05",,,,"7","4",,,,,,,,,,,"1.13",,,,"2.82",,,,,,,,
"US1NYSF0158","40.695085","-73.358045","5.2","2023-06",,,,"9","7",,,,,,,,,,,"0.74",,,,"2.30",,,,,,,,
"US1NYSF0158","40.695085","-73.358045","5.2","2023-07",,,,"12","7",,,,,,,,,,,"2.68",,,,"5.50",,,,,,,,
"US1NYSF0158","40.695085","-73.358045","5.2","2023-08",,,,"12","9",,,,,,,,,,,"1.29",,,,"5.46",,,,,,,,
"US1NYSF0158","40.695085","-73.358045","5.2","2023-09",,,,"12","10",,,,,,,,,,,"1.54",,,,"6.20",,,,,,,,
"US1NYSF0158","40.695085","-73.358045","5.2","2023-10",,,,"9","6",,,,,,,,,,,"0.63",,,,"2.39",,,,,,,,
"US1NYSF0158","40.695085","-73.358045","5.2","2023-11",,,,"4","3",,"0",,,,,,,,"0.0","1.15",,,,"1.50","0.0",,,,,,,
"US1NYSF0158","40.695085","-73.358045","5.2","2023-12",,,,"11","8",,,,,,,,,,,"3.26",,,,"8.30",,,,,,,,
"US1NYSF0158","40.695085","-73.358045","5.2","2024-01",,,,"11","8",,,,,,,,,,,"2.41",,,,"6.60",,,,,,,,
"US1NYSF0158","40.695085","-73.358045","5.2","2024-02",,,,"8","5",,,,,,,,,,,"0.51",,,,"1.26",,,,,,,,
"US1NYSF0158","40.695085","-73.358045","5.2","2024-03",,,,"14","9",,,,,,,,,,,"2.35",,,,"9.80",,,,,,,,
"US1NYSF0158","40.695085","-73.358045","5.2","2024-04",,,,"12","6",,,,,,,,,,,"1.51",,,,"4.17",,,,,,,,
"US1NYSF0158","40.695085","-73.358045","5.2","2024-06",,,,,,,"0",,,,,,,,"0.0",,,,,,"0.0",,,,,,,
"US1NYSF0158","40.695085","-73.358045","5.2","2024-07",,,,"8","5",,,,,,,,,,,"0.97",,,,"2.49",,,,,,,,
"US1NYSF0158","40.695085","-73.358045","5.2","2024-08",,,,"15","8",,,,,,,,,,,"2.60",,,,"5.39",,,,,,,,
"US1NYSF0158","40.695085","-73.358045","5.2","2024-09",,,,"3","3",,"0",,,,,,,,"0.0","0.28",,,,"0.55","0.0",,,,,,,
"US1NYSF0158","40.695085","-73.358045","5.2","2024-10",,,,"0","0",,"0",,,,,,,,"0.0","0.00",,,,"0.00","0.0",,,,,,,
"US1NYSF0158","40.695085","-73.358045","5.2","2024-11",,,,"7","6",,,,,,,,,,,"1.02",,,,"3.09",,,,,,,,
"USW00014734","40.68275","-74.16927","1.9","2022-01","11.0","0","0","11","8","6","4","0","28","11","0","0","6","6","6.6","1.30","59","2383","1125","4.06","14.6","28.7","36.6","20.7","290","70","33.1","45"
"USW00014734","40.68275","-74.16927","1.9","2022-02","10.5","0","0","9","8","5","1","0","23","4","1","0","13","5","1.9","0.84","70","3189","805","2.65","2.3","36.2","46.1","26.3","260","270","48.1","66"
"USW00014734","40.68275","-74.16927","1.9","2022-03","11.4","0","0","11","6","0","0","0","12","0","4","0","20","0","0.5","0.88","76","3801","612","2.38","0.8","45.3","54.4","36.1","270","300","44.1","60"
"USW00014734","40.68275","-74.16927","1.9","2022-04","11.2","7","7","13","8","0","0","0","0","0","6","0","36","0","0.0","1.10","88","4155","354","4.36","0.0","53.4","61.7","45.1","270","280","44.1","53"
"USW00014734","40.68275","-74.16927","1.9","2022-05","8.7","125","118","12","12","0","0","0","0","0","23","4","43","0","0.0","1.21","98","4235","80","5.23","0.0","66.2","75.2","57.3","270","280","35.1","44"
"USW00014734","40.68275","-74.16927","1.9","2022-06","8.9","406","281","10","5","0","0","0","0","0","30","6","56","0","0.0","0.78","96","4235","0","2.40","0.0","74.4","83.7","65.0","260","270","33.1","43"
"USW00014734","40.68275","-74.16927","1.9","2022-07","8.9","951","545","9","2","0","0","0","0","0","31","20","64","0","0.0","0.12","102","0","0","0.55","0.0","82.6","92.1","73.1","230","220","35.1","44"
"USW00014734","40.68275","-74.16927","1.9","2022-08","8.3","1430","480","7","5","0","0","0","0","0","31","18","63","0","0.0","0.75","101","0","0","1.92","0.0","80.5","89.5","71.4","230","220","36.9","47"
"USW00014734","40.68275","-74.16927","1.9","2022-09","8.7","1608","178","10","6","0","0","0","0","0","26","1","47","0","0.0","1.44","93","37","37","3.74","0.0","69.7","78.4","60.9","260","260","36.0","43"
"USW00014734","40.68275","-74.16927","1.9","2022-10","8.7","1613","5","13","10","0","0","0","0","0","7","0","37","0","0.0","1.77","76","323","286","5.97","0.0","55.9","64.9","47.0","30","30","30.0","39"
"USW00014734","40.68275","-74.16927","1.9","2022-11","9.8","1632","19","10","5","0","0","0","6","0","9","0","24","0","0.0","0.77","81","763","440","2.77","0.0","51.0","59.8","42.2","320","230","33.1","45"
"USW00014734","40.68275","-74.16927","1.9","2022-12","10.3","1632","0","9","9","0","0","0","19","3","0","0","8","0","0.1","1.26","62","1589","826","4.53","0.1","38.4","45.9","30.8","270","240","42.9","53"
"USW00014734","40.68275","-74.16927","1.9","2023-01","9.2","0","0","14","9","0","0","0","6","0","0","0","29","0","0.0","0.95","66","2239","650","4.31","0.0","44.0","50.6","37.4","260","260","33.1","44"
"USW00014734","40.68275","-74.16927","1.9","2023-02","9.8","0","0","10","6","1","1","0","13","1","1","0","5","2","1.2","0.38","70","2915","676","1.41","2.0","40.8","49.8","31.9","290","320","36.9","48"
"USW00014734","40.68275","-74.16927","1.9","2023-03","11.4","0","0","13","8","1","0","0","7","0","0","0","27","1","0.4","1.24","65","3537","622","3.33","0.6","44.9","53.1","36.7","310","320","36.9","49"
"USW00014734","40.68275","-74.16927","1.9","2023-04","9.6","37","37","8","7","0","0","0","0","0","12","2","35","0","0.0","3.05","93","3786","248","8.07","0.0","58.0","67.9","48.0","310","310","40.0","54"
"USW00014734","40.68275","-74.16927","1.9","2023-05","8.9","87","50","7","1","0","0","0","0","0","23","1","44","0","0.0","0.66","90","3880","95","0.90","0.0","63.5","74.0","53.1","260","230","31.1","39"
"USW00014734","40.68275","-74.16927","1.9","2023-06","8.1","291","204","9","5","0","0","0","0","0","30","1","49","0","0.0","0.90","91","3887","6","2.67","0.0","71.6","80.7","62.5","350","350","35.1","42"
"USW00014734","40.68275","-74.16927","1.9","2023-07","7.4","775","483","13","10","0","0","0","0","0","31","14","64","0","0.0","1.49","96","0","0","6.26","0.0","80.6","89.1","72.1","230","240","36.0","46"
"USW00014734","40.68275","-74.16927","1.9","2023-08","8.5","1136","362","11","9","0","0","0","0","0","31","5","62","0","0.0","0.91","91","0","0","4.26","0.0","76.7","84.5","68.8","320","320","31.1","37"
"USW00014734","40.68275","-74.16927","1.9","2023-09","9.2","1348","212","14","10","0","0","0","0","0","23","6","51","0","0.0","1.72","97","26","26","8.31","0.0","71.2","78.9","63.5","190","190","31.1","39"
"USW00014734","40.68275","-74.16927","1.9","2023-10","8.1","1401","53","9","7","0","0","0","0","0","14","0","44","0","0.0","1.83","85","174","148","4.02","0.0","62.0","70.6","53.3","320","290","29.1","41"
"USW00014734","40.68275","-74.16927","1.9","2023-11","9.2","1401","0","4","3","0","0","0","7","0","1","0","27","0","0.0","1.46","70","724","551","2.91","0.0","46.7","55.7","37.6","280","110","28.0","40"
"USW00014734","40.68275","-74.16927","1.9","2023-12","8.3","1401","0","10","8","0","0","0","9","0","0","0","25","0","0.0","2.75","64","1366","641","7.56","0.0","44.3","50.8","37.9","170","140","32.0","48"
"USW00014734","40.68275","-74.16927","1.9","2024-01","9.8","0","0","16","10","7","1","0","16","4","0","0","17","2","1.7","2.05","61","2223","857","5.53","3.1","37.4","43.3","31.4","260","270","40.0","50"
"USW00014734","40.68275","-74.16927","1.9","2024-02","8.9","0","0","7","5","5","2","0","17","0","0","0","19","4","4.9","0.58","63","2955","732","1.75","9.1","39.8","47.4","32.1","280","270","42.9","64"
"USW00014734","40.68275","-74.16927","1.9","2024-03","11.0","0","0","11","6","0","0","0","4","0","3","0","29","0","0.0","3.10","75","3468","513","8.00","0.0","48.5","56.5","40.4","290","290","44.1","59"
"USW00014734","40.68275","-74.16927","1.9","2024-04","9.8","12","12","12","6","0","0","0","0","0","8","0","38","0","0.0","1.84","86","3776","308","3.85","0.0","55.1","63.6","46.7","260","260","36.9","56"
"USW00014734","40.68275","-74.16927","1.9","2024-05","8.3","132","120","13","7","0","0","0","0","0","22","1","46","0","0.0","0.63","90","3851","76","2.80","0.0","66.4","75.2","57.6","240","250","35.1","48"
"USW00014734","40.68275","-74.16927","1.9","2024-06","9.6","506","374","8","6","0","0","0","0","0","30","11","58","0","0.0","0.45","100","3851","0","1.75","0.0","77.5","87.5","67.4","280","300","42.9","59"
"USW00014734","40.68275","-74.16927","1.9","2024-07","7.8","1010","503","14","8","0","0","0","0","0","31","14","64","0","0.0","1.28","99","0","0","3.60","0.0","81.2","89.7","72.8","230","230","40.0","53"
"USW00014734","40.68275","-74.16927","1.9","2024-08","7.8","1380","370","14","10","0","0","0","0","0","31","7","56","0","0.0","1.68","100","0","0","6.69","0.0","76.9","85.7","68.2","360","290","33.1","44"
"USW00014734","40.68275","-74.16927","1.9","2024-09","7.8","1529","149","6","2","0","0","0","0","0","26","0","51","0","0.0","0.40","87","3","3","0.89","0.0","69.8","78.3","61.4","290","300","25.1","36"
"USW00014734","40.68275","-74.16927","1.9","2024-10","7.6","1559","30","0","0","0","0","0","0","0","22","0","41","0","0.0","0.00","84","141","137","0.00","0.0","61.5","72.0","51.0","290","260","36.0","50"
"USW00014734","40.68275","-74.16927","1.9","2024-11","10.3","1573","14","8","5","0","0","0","1","0","7","0","30","0","0.0","1.43","83","550","409","2.92","0.0","51.8","60.5","43.1","280","280","33.1","50"
"US1NYNS0018","40.7686538696289","-73.5017013549805","45.7","2022-01",,,,"7","5",,,,,,,,,,,"1.45",,,,"3.08",,,,,,,,
"USW00014732","40.77945","-73.88027","3.0","2022-01","11.9","0","0","11","9","6","3","0","26","10","0","0","10","8","9.7","1.06","60","2221","1030","3.76","20.4","31.8","38.5","25.1","60","350","36.0","46"
"USW00014732","40.77945","-73.88027","3.0","2022-02","11.6","0","0","9","8","5","1","0","19","4","0","0","17","5","2.4","0.82","68","2990","769","3.18","2.7","37.5","45.6","29.5","300","310","36.9","50"
"USW00014732","40.77945","-73.88027","3.0","2022-03","12.3","0","0","12","5","0","0","0","11","1","2","0","22","0","0.9","1.02","74","3612","622","2.61","1.6","44.9","53.1","36.7","290","290","45.0","56"
"USW00014732","40.77945","-73.88027","3.0","2022-04","12.5","0","0","13","7","0","0","0","0","0","3","0","39","0","0.0","1.14","71","3990","378","4.20","0.0","52.4","59.4","45.3","290","110","36.0","50"
"USW00014732","40.77945","-73.88027","3.0","2022-05","10.1","81","81","12","10","0","0","0","0","0","19","3","46","0","0.0","1.06","93","4095","105","4.65","0.0","64.2","72.2","56.2","300","290","33.1","43"
"USW00014732","40.77945","-73.88027","3.0","2022-06","9.4","301","220","10","7","0","0","0","0","0","28","3","56","0","0.0","0.84","92","4097","2","3.37","0.0","72.3","80.0","64.5","320","310","31.1","41"
"USW00014732","40.77945","-73.88027","3.0","2022-07","9.2","799","498","8","5","0","0","0","0","0","31","11","68","0","0.0","0.76","98","0","0","2.69","0.0","81.1","88.8","73.3","300","40","33.1","41"
"USW00014732","40.77945","-73.88027","3.0","2022-08","8.7","1288","489","8","6","0","0","0","0","0","31","13","66","0","0.0","0.61","98","0","0","2.07","0.0","80.8","87.9","73.7","310","310","29.1","38"
"USW00014732","40.77945","-73.88027","3.0","2022-09","9.8","1488","200","8","6","0","0","0","0","0","27","0","51","0","0.0","1.69","89","23","23","5.08","0.0","70.9","77.9","63.9","270","310","30.0","38"
"USW00014732","40.77945","-73.88027","3.0","2022-10","9.8","1496","8","12","8","0","0","0","0","0","6","0","44","0","0.0","1.77","78","232","209","5.05","0.0","58.5","64.9","52.2","50","50","36.0","47"
"USW00014732","40.77945","-73.88027","3.0","2022-11","11.2","1506","10","10","6","0","0","0","3","0","5","0","29","0","0.0","1.23","78","643","411","3.19","0.0","51.6","57.9","45.4","180","180","36.0","48"
"USW00014732","40.77945","-73.88027","3.0","2022-12","11.9","1506","0","9","9","0","0","0","12","3","0","0","7","0","0.3","0.95","60","1457","813","4.40","0.4","38.7","44.7","32.9","140","270","38.9","56"
"USW00014732","40.77945","-73.88027","3.0","2023-01","10.7","0","0","15","9","0","0","0","4","0","0","0","30","0","0.0","1.13","66","2131","674","4.66","0.0","43.3","48.4","38.1","310","180","33.1","45"
"USW00014732","40.77945","-73.88027","3.0","2023-02","11.2","0","0","10","5","1","2","0","11","1","0","0","5","2","1.6","0.31","69","2808","678","1.35","2.9","40.8","48.1","33.5","290","310","40.0","54"
"USW00014732","40.77945","-73.88027","3.0","2023-03","12.8","0","0","14","8","0","0","0","3","0","0","0","31","0","0.1","1.13","63","3437","629","3.30","0.1","44.7","51.2","38.2","320","320","36.0","46"
"USW00014732","40.77945","-73.88027","3.0","2023-04","10.7","33","33","8","6","0","0","0","0","0","9","0","38","0","0.0","3.09","89","3710","272","8.25","0.0","57.0","65.2","48.8","310","300","35.1","45"
"USW00014732","40.77945","-73.88027","3.0","2023-05","9.4","86","52","5","1","0","0","0","0","0","20","0","45","0","0.0","1.26","87","3811","101","1.39","0.0","63.4","71.7","55.1","290","280","28.0","37"
"USW00014732","40.77945","-73.88027","3.0","2023-06","9.6","272","186","12","3","0","0","0","0","0","29","1","51","0","0.0","0.39","90","3819","8","1.04","0.0","70.9","78.5","63.3","350","360","25.1","36"
"USW00014732","40.77945","-73.88027","3.0","2023-07","8.3","750","478","13","10","0","0","0","0","0","31","10","67","0","0.0","1.39","95","0","0","5.39","0.0","80.4","87.5","73.3","270","260","36.9","53"
"USW00014732","40.77945","-73.88027","3.0","2023-08","9.4","1090","340","11","9","0","0","0","0","0","31","0","65","0","0.0","1.57","88","0","0","7.89","0.0","76.0","82.1","69.8","270","290","36.9","51"
"USW00014732","40.77945","-73.88027","3.0","2023-09","10.5","1301","211","13","10","0","0","0","0","0","21","5","53","0","0.0","4.10","96","31","31","12.76","0.0","71.0","76.9","65.1","60","60","36.0","44"
"USW00014732","40.77945","-73.88027","3.0","2023-10","8.7","1357","55","9","7","0","0","0","0","0","13","0","46","0","0.0","0.94","84","178","146","4.18","0.0","62.1","68.4","55.7","280","270","30.0","38"
"USW00014732","40.77945","-73.88027","3.0","2023-11","10.3","1357","0","5","3","0","0","0","2","0","0","0","28","0","0.0","1.78","66","702","524","2.77","0.0","47.5","53.8","41.3","300","120","32.0","43"
"USW00014732","40.77945","-73.88027","3.0","2023-12","10.3","1357","0","10","8","0","0","0","4","0","0","0","26","0","0.0","2.13","63","1343","641","6.71","0.0","44.3","49.2","39.4","140","160","38.0","54"
"USW00014732","40.77945","-73.88027","3.0","2024-01","12.1","0","0","16","9","5","2","0","13","5","0","0","19","2","2.0","1.95","60","2205","862","5.81","3.9","37.2","41.9","32.5","160","160","40.0","55"
"USW00014732","40.77945","-73.88027","3.0","2024-02","10.5","0","0","8","5","4","2","0","14","0","0","0","24","3","3.3","0.64","60","2940","735","1.88","6.6","39.6","45.6","33.7","300","240","36.9","55"
"USW00014732","40.77945","-73.88027","3.0","2024-03","12.3","0","0","12","7","0","0","0","4","0","2","0","29","0","0.0","3.47","72","3490","549","9.62","0.0","47.3","54.3","40.3","310","320","38.0","58"
"USW00014732","40.77945","-73.88027","3.0","2024-04","11.4","10","10","10","5","0","0","0","0","0","5","0","37","0","0.0","1.75","85","3841","351","3.61","0.0","53.7","60.8","46.5","60","60","38.9","53"
"USW00014732","40.77945","-73.88027","3.0","2024-05","9.2","99","89","13","10","0","0","0","0","0","21","0","49","0","0.0","0.74","86","3932","91","2.85","0.0","64.9","72.3","57.5","50","250","31.1","43"
"USW00014732","40.77945","-73.88027","3.0","2024-06","10.1","432","333","8","6","0","0","0","0","0","30","6","61","0","0.0","0.61","97","3932","0","1.67","0.0","76.1","84.5","67.7","260","250","38.9","49"
"USW00014732","40.77945","-73.88027","3.0","2024-07","9.2","887","455","12","8","0","0","0","0","0","31","9","65","0","0.0","1.40","97","0","0","3.83","0.0","79.7","87.1","72.3","300","300","30.0","47"
"USW00014732","40.77945","-73.88027","3.0","2024-08","9.2","1251","364","12","9","0","0","0","0","0","31","6","59","0","0.0","2.96","95","0","0","7.82","0.0","76.7","83.8","69.7","170","170","33.1","52"
"USW00014732","40.77945","-73.88027","3.0","2024-09","9.4","1395","143","6","3","0","0","0","0","0","25","0","57","0","0.0","0.73","85","6","6","1.33","0.0","69.6","75.7","63.5","300","310","25.1","37"
"USW00014732","40.77945","-73.88027","3.0","2024-10","9.2","1430","35","1","0","0","0","0","0","0","17","0","45","0","0.0","0.01","83","130","124","0.01","0.0","62.1","69.8","54.5","310","300","33.1","46"
"USW00014732","40.77945","-73.88027","3.0","2024-11","11.4","1444","13","6","4","0","0","0","1","0","5","0","32","0","0.0","1.28","81","513","382","3.00","0.0","52.7","59.2","46.2","320","330","38.0","50"
"US1NJBG0065","40.81007","-74.133975","6.4","2023-05",,,,"8","2",,,,,,,,,,,"2.89",,,,"3.87",,,,,,,,
"US1NJBG0065","40.81007","-74.133975","6.4","2023-06",,,,"9","6",,,,,,,,,,,"0.91",,,,"2.29",,,,,,,,
"US1NJBG0065","40.81007","-74.133975","6.4","2023-07",,,,"11","7",,,,,,,,,,,"1.12",,,,"4.53",,,,,,,,
"US1NJBG0065","40.81007","-74.133975","6.4","2023-08",,,,,,,,,,,,,,,,,,,,"5.12",,,,,,,,
"US1NJBG0065","40.81007","-74.133975","6.4","2023-09",,,,"15","11",,,,,,,,,,,"1.25",,,,"8.09",,,,,,,,
"US1NJBG0065","40.81007","-74.133975","6.4","2023-10",,,,"11","8",,,,,,,,,,,"1.94",,,,"5.70",,,,,,,,
"US1NJBG0065","40.81007","-74.133975","6.4","2023-11",,,,"8","2",,,,,,,,,,,"2.55",,,,"3.69",,,,,,,,
"US1NJBG0064","40.852624","-74.087451","52.1","2022-04",,,,"8","5",,,,,,,,,,,"1.94",,,,"4.41",,,,,,,,
"US1NJBG0064","40.852624","-74.087451","52.1","2022-05",,,,"13","9",,,,,,,,,,,"1.75",,,,"6.07",,,,,,,,
"US1NJBG0064","40.852624","-74.087451","52.1","2022-06",,,,"10","6",,,,,,,,,,,"0.99",,,,"4.04",,,,,,,,
"US1NJBG0064","40.852624","-74.087451","52.1","2022-07",,,,"8","5",,,,,,,,,,,"2.20",,,,"6.02",,,,,,,,
"US1NJBG0064","40.852624","-74.087451","52.1","2022-08",,,,"8","4",,,,,,,,,,,"0.91",,,,"1.87",,,,,,,,
"US1NJBG0064","40.852624","-74.087451","52.1","2022-09",,,,"8","7",,,,,,,,,,,"1.09",,,,"3.41",,,,,,,,
"US1NJBG0064","40.852624","-74.087451","52.1","2022-10",,,,"14","8",,,,,,,,,,,"1.67",,,,"5.65",,,,,,,,
"US1NJBG0064","40.852624","-74.087451","52.1","2022-11",,,,"9","4",,,,,,,,,,,"0.97",,,,"2.68",,,,,,,,
"US1NJBG0064","40.852624","-74.087451","52.1","2022-12",,,,"10","9",,,,,,,,,,,"1.88",,,,"6.41",,,,,,,,
"US1NJBG0064","40.852624","-74.087451","52.1","2023-01",,,,"16","8",,,,,,,,,,,"1.37",,,,"4.87",,,,,,,,
"US1NJBG0064","40.852624","-74.087451","52.1","2023-02",,,,"10","5",,,,,,,,,,,"0.56",,,,"1.55",,,,,,,,
"US1NJBG0064","40.852624","-74.087451","52.1","2023-03",,,,"15","6",,,,,,,,,,,"1.35",,,,"3.65",,,,,,,,
"US1NJBG0064","40.852624","-74.087451","52.1","2023-04",,,,"11","5",,,,,,,,,,,"1.96",,,,"5.89",,,,,,,,
"US1NJBG0064","40.852624","-74.087451","52.1","2023-05",,,,"9","3",,,,,,,,,,,"2.38",,,,"3.54",,,,,,,,
"US1NJBG0064","40.852624","-74.087451","52.1","2023-06",,,,"10","6",,,,,,,,,,,"0.78",,,,"2.23",,,,,,,,
"US1NJBG0064","40.852624","-74.087451","52.1","2023-07",,,,"15","10",,,,,,,,,,,"0.81",,,,"4.81",,,,,,,,
"US1NJBG0064","40.852624","-74.087451","52.1","2023-08",,,,"13","9",,,,,,,,,,,"0.90",,,,"4.41",,,,,,,,
"US1NJBG0064","40.852624","-74.087451","52.1","2023-09",,,,"16","13",,,,,,,,,,,"1.02",,,,"8.21",,,,,,,,
"US1NJBG0064","40.852624","-74.087451","52.1","2023-10",,,,"11","7",,,,,,,,,,,"2.27",,,,"5.57",,,,,,,,
"US1NJBG0064","40.852624","-74.087451","52.1","2023-11",,,,"9","2",,,,,,,,,,,"2.14",,,,"3.21",,,,,,,,
"US1NJBG0064","40.852624","-74.087451","52.1","2023-12",,,,"12","8",,,,,,,,,,,"2.90",,,,"7.93",,,,,,,,
"US1NJBG0064","40.852624","-74.087451","52.1","2024-01",,,,"16","10",,,,,,,,,,,"2.48",,,,"6.29",,,,,,,,
"US1NJBG0064","40.852624","-74.087451","52.1","2024-02",,,,"9","8",,,,,,,,,,,"0.48",,,,"2.08",,,,,,,,
"US1NJBG0064","40.852624","-74.087451","52.1","2024-03",,,,"15","8",,,,,,,,,,,"2.65",,,,"9.11",,,,,,,,
"US1NJBG0064","40.852624","-74.087451","52.1","2024-04",,,,"12","5",,,,,,,,,,,"1.37",,,,"3.46",,,,,,,,
"US1NJBG0064","40.852624","-74.087451","52.1","2024-05",,,,"17","11",,,,,,,,,,,"1.06",,,,"4.51",,,,,,,,
"US1NJBG0064","40.852624","-74.087451","52.1","2024-06",,,,"8","5",,,,,,,,,,,"1.34",,,,"3.06",,,,,,,,
"US1NJBG0064","40.852624","-74.087451","52.1","2024-07",,,,"15","7",,,,,,,,,,,"0.95",,,,"3.57",,,,,,,,
"US1NJBG0064","40.852624","-74.087451","52.1","2024-08",,,,"14","12",,,,,,,,,,,"3.05",,,,"10.03",,,,,,,,
"US1NJBG0064","40.852624","-74.087451","52.1","2024-09",,,,"8","3",,,,,,,,,,,"0.44",,,,"1.15",,,,,,,,
"US1NJBG0064","40.852624","-74.087451","52.1","2024-10",,,,"0","0",,"0",,,,,,,,"0.0","0.00",,,,"0.00","0.0",,,,,,,
"US1NJBG0064","40.852624","-74.087451","52.1","2024-11",,,,"7","7",,,,,,,,,,,"1.10",,,,"3.26",,,,,,,,
"USC00308577","40.8216","-73.4908","80.8","2022-01",,"0","0","10","6",,,"0","28","10","0","0","5",,,"1.65","56","2700","1070","3.72",,"28.1","36.1","20.0",,,,
"USC00308577","40.8216","-73.4908","80.8","2022-02",,"0","0","9","8",,"0","0","25","5","0","0","9",,"0.0","0.75","67","3570","870","3.78","0.0","33.9","43.2","24.6",,,,
"USC00308577","40.8216","-73.4908","80.8","2022-03",,"0","0","11","5","0","0","0","14","1","2","0","16","0","0.0","0.62","70","4300","730","2.38","0.0","41.4","50.1","32.8",,,,
"USC00308577","40.8216","-73.4908","80.8","2022-04",,"0","0","10","5","0","0","0","1","0","1","0","30","0","0.0","1.76","77","4767","467","3.74","0.0","49.4","57.5","41.3",,,,
"USC00308577","40.8216","-73.4908","80.8","2022-05",,"32","32","13","9","0","0","0","0","0","17","0","37","0","0.0","1.05","89","4932","165","4.28","0.0","60.7","69.1","52.3",,,,
