STATION,NAME,DATE,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN
USW00094728,"NY CITY CENTRAL PARK, NY US",1/1/20,8.5,0,0,0,,41,34
USW00094728,"NY CITY CENTRAL PARK, NY US",1/2/20,5.37,0,0,0,,49,33
USW00094728,"NY CITY CENTRAL PARK, NY US",1/3/20,3.36,0.15,0,0,,49,44
USW00094728,"NY CITY CENTRAL PARK, NY US",1/4/20,4.47,0.27,0,0,,51,41
USW00094728,"NY CITY CENTRAL PARK, NY US",1/5/20,11.41,0,0,0,,42,35
USW00094728,"NY CITY CENTRAL PARK, NY US",1/6/20,6.04,0.04,0.2,0,,45,32
USW00094728,"NY CITY CENTRAL PARK, NY US",1/7/20,5.14,0,0,0,,45,36
USW00094728,"NY CITY CENTRAL PARK, NY US",1/8/20,9.62,0,0,0,,42,28
USW00094728,"NY CITY CENTRAL PARK, NY US",1/9/20,4.47,0,0,0,,34,23
USW00094728,"NY CITY CENTRAL PARK, NY US",1/10/20,6.26,0,0,0,,55,33
USW00094728,"NY CITY CENTRAL PARK, NY US",1/11/20,5.37,0,0,0,,69,51
USW00094728,"NY CITY CENTRAL PARK, NY US",1/12/20,8.72,0.05,0,0,,68,43
USW00094728,"NY CITY CENTRAL PARK, NY US",1/13/20,4.47,0,0,0,,46,37
USW00094728,"NY CITY CENTRAL PARK, NY US",1/14/20,3.8,0.07,0,0,,46,39
USW00094728,"NY CITY CENTRAL PARK, NY US",1/15/20,5.14,0,0,0,,50,41
USW00094728,"NY CITY CENTRAL PARK, NY US",1/16/20,10.29,0.11,0,0,,49,33
USW00094728,"NY CITY CENTRAL PARK, NY US",1/17/20,10.74,0,0,0,,33,21
USW00094728,"NY CITY CENTRAL PARK, NY US",1/18/20,4.92,0.37,2.1,0,,37,20
USW00094728,"NY CITY CENTRAL PARK, NY US",1/19/20,8.95,0,0,1.2,,43,27
USW00094728,"NY CITY CENTRAL PARK, NY US",1/20/20,7.83,0,0,0,,31,20
USW00094728,"NY CITY CENTRAL PARK, NY US",1/21/20,4.25,0,0,0,,33,20
USW00094728,"NY CITY CENTRAL PARK, NY US",1/22/20,,0,0,0,,38,25
USW00094728,"NY CITY CENTRAL PARK, NY US",1/23/20,,0,0,0,,47,33
USW00094728,"NY CITY CENTRAL PARK, NY US",1/24/20,,0,0,0,,51,37
USW00094728,"NY CITY CENTRAL PARK, NY US",1/25/20,,0.85,0,0,,51,38
USW00094728,"NY CITY CENTRAL PARK, NY US",1/26/20,,0,0,0,,46,38
USW00094728,"NY CITY CENTRAL PARK, NY US",1/27/20,6.26,0,0,0,,45,37
USW00094728,"NY CITY CENTRAL PARK, NY US",1/28/20,8.5,0,0,0,,43,37
USW00094728,"NY CITY CENTRAL PARK, NY US",1/29/20,6.71,0,0,0,,41,31
USW00094728,"NY CITY CENTRAL PARK, NY US",1/30/20,4.25,0,0,0,,38,25
USW00094728,"NY CITY CENTRAL PARK, NY US",1/31/20,3.8,0.02,0,0,,44,33
USW00094728,"NY CITY CENTRAL PARK, NY US",2/1/20,2.01,0,0,0,,43,37
USW00094728,"NY CITY CENTRAL PARK, NY US",2/2/20,4.92,0.07,0,0,,45,35
USW00094728,"NY CITY CENTRAL PARK, NY US",2/3/20,5.59,0,0,0,,57,37
USW00094728,"NY CITY CENTRAL PARK, NY US",2/4/20,3.36,0,0,0,,61,43
USW00094728,"NY CITY CENTRAL PARK, NY US",2/5/20,5.82,0,0,0,,55,39
USW00094728,"NY CITY CENTRAL PARK, NY US",2/6/20,6.93,0.51,0,0,,41,35
USW00094728,"NY CITY CENTRAL PARK, NY US",2/7/20,9.62,0.25,0,0,,56,33
USW00094728,"NY CITY CENTRAL PARK, NY US",2/8/20,7.38,0,0,0,,41,30
USW00094728,"NY CITY CENTRAL PARK, NY US",2/9/20,5.82,0,0,0,,44,31
USW00094728,"NY CITY CENTRAL PARK, NY US",2/10/20,6.26,0.37,0,0,,47,42
USW00094728,"NY CITY CENTRAL PARK, NY US",2/11/20,3.58,0.28,0,0,,48,43
USW00094728,"NY CITY CENTRAL PARK, NY US",2/12/20,5.37,0.13,0,0,,46,37
USW00094728,"NY CITY CENTRAL PARK, NY US",2/13/20,4.25,0.39,0,0,,44,37
USW00094728,"NY CITY CENTRAL PARK, NY US",2/14/20,7.38,0,0,0,,40,18
USW00094728,"NY CITY CENTRAL PARK, NY US",2/15/20,4.92,0,0,0,,31,14
USW00094728,"NY CITY CENTRAL PARK, NY US",2/16/20,5.59,0,0,0,,44,30
USW00094728,"NY CITY CENTRAL PARK, NY US",2/17/20,5.14,0,0,0,,51,38
USW00094728,"NY CITY CENTRAL PARK, NY US",2/18/20,6.26,0,0,0,,47,38
USW00094728,"NY CITY CENTRAL PARK, NY US",2/19/20,7.38,0,0,0,,48,32
