transit_timestamp,transit_mode,station_complex_id,station_complex,borough,payment_method,fare_class_category,ridership,transfers,latitude,longitude,georeference
2021-06-14T10:00:00.000,subway,621,"Broadway Junction (A,C,J,L,Z)",Brooklyn,omny,OMNY - Full Fare,33.0,4.0,40.678333,-73.90532,POINT (-73.90532 40.678333)
2021-06-14T15:00:00.000,subway,362,Middletown Rd (6),Bronx,omny,OMNY - Full Fare,16.0,0.0,40.843864,-73.83632,POINT (-73.83632 40.843864)
2021-06-14T16:00:00.000,subway,624,"Chambers St (A,C)/WTC (E)/Park Pl (2,3)/Cortlandt (R,W)",Manhattan,metrocard,Metrocard - Other,139.0,0.0,40.71411,-74.00858,POINT (-74.00858 40.71411)
2021-06-14T06:00:00.000,subway,151,"145 St (A,C,B,D)",Manhattan,metrocard,Metrocard - Fair Fare,31.0,4.0,40.824783,-73.944214,POINT (-73.944214 40.824783)
2021-06-14T07:00:00.000,subway,118,3 Av (L),Manhattan,omny,OMNY - Full Fare,16.0,1.0,40.73285,-73.98612,POINT (-73.98612 40.73285)
2021-06-14T04:00:00.000,subway,129,Halsey St (L),Queens,metrocard,Metrocard - Unlimited 7-Day,4.0,0.0,40.695602,-73.90408,POINT (-73.90408 40.695602)
2021-06-14T13:00:00.000,subway,153,"125 St (A,C,B,D)",Manhattan,metrocard,Metrocard - Students,18.0,1.0,40.811108,-73.95235,POINT (-73.95235 40.811108)
2021-06-14T07:00:00.000,subway,147,175 St (A),Manhattan,metrocard,Metrocard - Full Fare,266.0,4.0,40.84739,-73.939705,POINT (-73.939705 40.84739)
2021-06-14T02:00:00.000,subway,124,Montrose Av (L),Brooklyn,metrocard,Metrocard - Unlimited 30-Day,1.0,0.0,40.70774,-73.93985,POINT (-73.93985 40.70774)
2021-06-14T14:00:00.000,subway,265,"Grand Av-Newtown (M,R)",Queens,metrocard,Metrocard - Unlimited 30-Day,62.0,0.0,40.737015,-73.87722,POINT (-73.87722 40.737015)
2021-06-14T13:00:00.000,subway,621,"Broadway Junction (A,C,J,L,Z)",Brooklyn,metrocard,Metrocard - Fair Fare,12.0,1.0,40.678333,-73.90532,POINT (-73.90532 40.678333)
2021-06-14T23:00:00.000,subway,237,"Carroll St (F,G)",Brooklyn,metrocard,Metrocard - Unlimited 7-Day,18.0,0.0,40.6803,-73.99505,POINT (-73.99505 40.6803)
2021-06-14T23:00:00.000,subway,417,"Nereid Av (2,5)",Bronx,omny,OMNY - Full Fare,1.0,1.0,40.89838,-73.85438,POINT (-73.85438 40.89838)
2021-06-14T14:00:00.000,subway,604,"161 St-Yankee Stadium (B,D,4)",Bronx,metrocard,Metrocard - Unlimited 7-Day,144.0,0.0,40.827995,-73.92565,POINT (-73.92565 40.827995)
2021-06-14T00:00:00.000,subway,154,"116 St (C,B)",Manhattan,omny,OMNY - Full Fare,2.0,0.0,40.805084,-73.95488,POINT (-73.95488 40.805084)
2021-06-14T18:00:00.000,subway,366,Parkchester (6),Bronx,metrocard,Metrocard - Unlimited 30-Day,27.0,0.0,40.833225,-73.86082,POINT (-73.86082 40.833225)
2021-06-14T07:00:00.000,subway,260,"75 Av (E,F)",Queens,metrocard,Metrocard - Other,14.0,0.0,40.71833,-73.837326,POINT (-73.837326 40.71833)
2021-06-14T07:00:00.000,subway,144,Dyckman St (A),Manhattan,omny,OMNY - Full Fare,43.0,0.0,40.86549,-73.92727,POINT (-73.92727 40.86549)
2021-06-14T16:00:00.000,subway,262,"67 Av (M,R)",Queens,metrocard,Metrocard - Unlimited 30-Day,19.0,0.0,40.726524,-73.85272,POINT (-73.85272 40.726524)
2021-06-14T15:00:00.000,subway,363,Westchester Sq-E Tremont Av (6),Bronx,metrocard,Metrocard - Full Fare,93.0,22.0,40.839893,-73.84295,POINT (-73.84295 40.839893)
2021-06-14T17:00:00.000,subway,366,Parkchester (6),Bronx,metrocard,Metrocard - Other,13.0,2.0,40.833225,-73.86082,POINT (-73.86082 40.833225)
2021-06-14T22:00:00.000,subway,471,34 St-Hudson Yards (7),Manhattan,metrocard,Metrocard - Fair Fare,8.0,0.0,40.755882,-74.00191,POINT (-74.00191 40.755882)
2021-06-14T17:00:00.000,subway,368,Morrison Av-Soundview (6),Bronx,metrocard,Metrocard - Seniors & Disability,4.0,1.0,40.82952,-73.87452,POINT (-73.87452 40.82952)
2021-06-14T23:00:00.000,subway,147,175 St (A),Manhattan,metrocard,Metrocard - Unlimited 7-Day,5.0,0.0,40.84739,-73.939705,POINT (-73.939705 40.84739)
2021-06-14T12:00:00.000,subway,629,Lorimer St (L)/Metropolitan Av (G),Brooklyn,metrocard,Metrocard - Unlimited 7-Day,40.0,0.0,40.71406,-73.95027,POINT (-73.95027 40.71406)
2021-06-14T20:00:00.000,subway,627,"Franklin Av (C,S)",Brooklyn,metrocard,Metrocard - Unlimited 7-Day,17.0,0.0,40.68138,-73.95685,POINT (-73.95685 40.68138)
2021-06-14T12:00:00.000,subway,48,Avenue H (Q),Brooklyn,metrocard,Metrocard - Other,3.0,0.0,40.62927,-73.96164,POINT (-73.96164 40.62927)
2021-06-14T14:00:00.000,subway,260,"75 Av (E,F)",Queens,metrocard,Metrocard - Unlimited 7-Day,8.0,0.0,40.71833,-73.837326,POINT (-73.837326 40.71833)
2021-06-14T18:00:00.000,subway,619,"Broadway-Lafayette St (B,D,F,M)/Bleecker St (6)",Manhattan,omny,OMNY - Full Fare,490.0,4.0,40.725914,-73.99466,POINT (-73.99466 40.725914)
2021-06-14T22:00:00.000,subway,612,"Lexington Av-53 St (E,M)/51 St (6)",Manhattan,omny,OMNY - Full Fare,113.0,0.0,40.757553,-73.969055,POINT (-73.969055 40.757553)
2021-06-14T14:00:00.000,subway,124,Montrose Av (L),Brooklyn,metrocard,Metrocard - Other,4.0,0.0,40.70774,-73.93985,POINT (-73.93985 40.70774)
2021-06-14T09:00:00.000,subway,114,Central Av (M),Brooklyn,metrocard,Metrocard - Seniors & Disability,1.0,0.0,40.697857,-73.9274,POINT (-73.9274 40.697857)
2021-06-14T14:00:00.000,subway,601,"14 St (F,M,1,2,3)/6 Av (L)",Manhattan,metrocard,Metrocard - Seniors & Disability,78.0,5.0,40.738228,-73.99621,POINT (-73.99621 40.738228)
